time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 1946,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 3386,
27851, 3, -1, 0, 0, 15360, 0, 27643, 27643, 27643, 0, 0, 1252, 1803, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 2189,
35890, 3, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 1908,
35890, 4, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 1963,
35947, 4, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 1963,
35947, 5, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 3215,
35947, 6, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 4467,
37782, 7, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 5719,
39582, 8, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 6971,
41454, 9, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 8223,
41969, 9, -1, 0, 0, 15360, 0, 35818, 28664, 27643, 0, 0, 1252, 1870, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 8223,
41999, 9, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 6370,
43654, 10, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 7810,
45863, 11, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 9250,
48080, 12, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 10690,
50259, 13, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 12130,
52449, 14, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 13570,
54662, 15, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 15010,
56846, 16, 1, 41999, 0, 15360, 21939, 33831, 29309, 27643, 0, 0, 1440, 2199, 0, 0, 0, 0, 0, 0, 14733821145135424, 32964, 16450,
65865, 16, 2, 65865, 27851, 15360, 18832, 31046, 29526, 27643, 0, 53711, 1440, 2215, 0, 0, 1, 0, 0, 0, 14733821145135424, 32964, 16395,
66833, 16, 6, 66833, 37782, 17871, 19085, 27259, 29243, 27259, 0, 53711, 1440, 1886, 0, 0, 1, 0, 0, 0, 14733821145135424, 377303, 12584,
66833, 17, 6, 66833, 37782, 17871, 19085, 27259, 29243, 27259, 0, 53711, 1440, 1886, 0, 0, 0, 0, 0, 0, 14733821145135424, 377303, 14024,
66833, 18, 6, 66833, 37782, 17871, 19085, 27259, 29243, 27259, 0, 53711, 1440, 1886, 0, 0, 0, 0, 0, 0, 14733821145135424, 377303, 15464,
66833, 19, 6, 66833, 37782, 17871, 19085, 27259, 29243, 27259, 0, 53711, 1440, 1886, 0, 0, 0, 0, 0, 0, 14733821145135424, 377303, 16904,
68649, 20, 6, 66833, 37782, 17871, 19085, 27259, 29243, 27259, 0, 53711, 1440, 1886, 0, 0, 0, 0, 0, 0, 14733821145135424, 377303, 18344,
94830, 20, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 1, 0, 0, 0, 14733821145135424, 663487, 14400,
94830, 21, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 15840,
94830, 22, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 17280,
94830, 23, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 18720,
95322, 24, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 20160,
96957, 25, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 21600,
98651, 26, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 23040,
102666, 27, 9, 94830, 43654, 21767, 19237, 49952, 31831, 27259, 175974, 53711, 1440, 1685, 0, 0, 1, 0, 0, 0, 14733821145135424, 663487, 23095,
121862, 27, 11, 121862, 48080, 24615, 19803, 72094, 36863, 27259, 219009, 2964, 1440, 1726, 0, 0, 1, 0, 0, 0, 14733821145135424, 663487, 20215,
121862, 28, 11, 121862, 48080, 24615, 19803, 72094, 36863, 27259, 219009, 2964, 1440, 1726, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 21655,
121862, 29, 11, 121862, 48080, 24615, 19803, 72094, 36863, 27259, 219009, 2964, 1440, 1726, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 23095,
121862, 30, 11, 121862, 48080, 24615, 19803, 72094, 36863, 27259, 219009, 2964, 1440, 1726, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 24535,
121862, 31, 11, 121862, 48080, 24615, 19803, 72094, 36863, 27259, 219009, 2964, 1440, 1726, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 25975,
129890, 31, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 1, 0, 0, 0, 14733821145135424, 663487, 21655,
129890, 32, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 23095,
129890, 33, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 24535,
129890, 34, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 25975,
129890, 35, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 27415,
129890, 36, 14, 129890, 54662, 28887, 19229, 74092, 41516, 27259, 270791, 2964, 1440, 1656, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 28855,
129977, 36, 15, 129977, 56846, 30311, 19029, 66171, 44597, 27259, 285437, 2964, 1440, 1695, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 27415,
130076, 36, 15, 129977, 56846, 30311, 19029, 66171, 44597, 27259, 285437, 2964, 1440, 1695, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 27415,
130819, 36, 19, 130819, 68649, 36007, 19226, 59450, 46453, 27259, 567885, 2964, 1440, 1487, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 21655,
130834, 36, 21, 130834, 94830, 38855, 20213, 35996, 45146, 27259, 333906, 2964, 1440, 1339, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 18775,
131002, 36, 23, 131002, 95322, 41703, 20705, 35680, 43963, 27259, 384034, 2964, 1440, 1215, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 15895,
131142, 37, 23, 131002, 95322, 41703, 20705, 35680, 43963, 27259, 384034, 2964, 1440, 1215, 0, 0, 0, 0, 0, 0, 14733821145135424, 663487, 17335,
131672, 37, 25, 131672, 98651, 44551, 19240, 30749, 42312, 27259, 406508, 2964, 1440, 1095, 0, 0, 0, 0, 0, 0, 14733821145135424, 1114241, 14455,
