time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1946,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3386,
39912, 3, -1, 0, 0, 15360, 0, 39664, 39664, 39664, 0, 0, 1252, 2587, 0, 0, 0, 0, 0, 0, 0, 0, 2189,
40940, 3, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 1908,
40940, 4, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 1963,
41910, 4, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 1963,
41910, 5, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 3215,
42470, 6, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 4467,
45034, 7, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 5719,
47640, 8, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 6971,
48928, 8, -1, 0, 0, 15360, 0, 40860, 39813, 39664, 0, 0, 1252, 2597, 0, 0, 0, 0, 0, 0, 0, 257782, 6971,
48949, 8, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 5118,
50593, 9, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 6558,
53605, 10, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 7998,
56586, 11, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 9438,
59553, 12, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 10878,
62524, 13, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 12318,
65497, 14, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 13758,
68480, 15, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 15198,
71463, 16, 1, 48949, 0, 15360, 36344, 38965, 39707, 38965, 0, 0, 1440, 2979, 0, 0, 0, 0, 0, 0, 0, 257782, 16638,
83912, 16, 3, 83912, 40940, 15360, 25812, 42972, 40115, 38965, 0, 37466, 1440, 3009, 0, 0, 1, 0, 0, 0, 0, 257782, 16528,
83938, 16, 5, 83938, 42470, 16596, 33450, 41468, 40284, 38965, 0, 37466, 1440, 2797, 0, 0, 1, 0, 0, 0, 0, 269633, 14024,
83938, 17, 5, 83938, 42470, 16596, 33450, 41468, 40284, 38965, 0, 37466, 1440, 2797, 0, 0, 0, 0, 0, 0, 0, 269633, 15464,
83938, 18, 5, 83938, 42470, 16596, 33450, 41468, 40284, 38965, 0, 37466, 1440, 2797, 0, 0, 0, 0, 0, 0, 0, 269633, 16904,
84007, 18, 7, 84007, 47640, 19068, 32280, 33679, 39459, 33679, 0, 37466, 1440, 2384, 0, 0, 0, 0, 0, 0, 0, 369617, 14400,
84007, 19, 7, 84007, 47640, 19068, 32280, 33679, 39459, 33679, 0, 37466, 1440, 2384, 0, 0, 0, 0, 0, 0, 0, 369617, 15840,
84818, 19, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 8640,
85579, 20, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 10080,
87241, 21, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 11520,
88876, 22, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 12960,
90516, 23, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 14400,
92167, 24, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 15840,
93801, 25, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 17280,
95443, 26, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 18720,
97093, 27, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 20160,
98727, 28, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 21600,
100368, 29, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 23040,
102023, 30, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 24480,
103649, 31, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 25920,
105290, 32, 12, 84818, 62524, 26188, 26460, 22286, 37313, 22286, 194197, 37466, 1440, 1642, 0, 0, 0, 0, 0, 0, 0, 478366, 27360,
111905, 32, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 0, 0, 1, 0, 0, 0, 0, 478366, 24480,
111905, 33, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 0, 0, 0, 0, 0, 0, 0, 478366, 25920,
111905, 34, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 0, 0, 0, 0, 0, 0, 0, 478366, 27360,
111905, 35, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 0, 0, 0, 0, 0, 0, 0, 478366, 28800,
111905, 36, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 0, 0, 0, 0, 0, 0, 0, 478366, 30240,
158287, 37, 14, 111905, 68480, 29036, 26536, 43017, 38026, 22286, 218896, 37466, 1440, 1509, 1, 0, 1, 0, 0, 0, 0, 478366, 30240,
165835, 37, 16, 165835, 83938, 30460, 26006, 81889, 43508, 22286, 334330, 3356, 1440, 1646, 1, 1, 1, 0, 0, 0, 0, 478366, 28800,
165835, 38, 16, 165835, 83938, 30460, 26006, 81889, 43508, 22286, 334330, 3356, 1440, 1646, 1, 1, 0, 0, 0, 0, 0, 478366, 30240,
165835, 39, 16, 165835, 83938, 30460, 26006, 81889, 43508, 22286, 334330, 3356, 1440, 1646, 1, 1, 0, 0, 0, 0, 0, 478366, 31680,
173928, 39, 18, 173928, 84007, 33627, 28025, 89913, 49308, 22286, 391563, 3356, 1440, 1690, 1, 1, 1, 0, 0, 0, 0, 1363984, 28800,
173928, 40, 18, 173928, 84007, 33627, 28025, 89913, 49308, 22286, 391563, 3356, 1440, 1690, 1, 1, 0, 0, 0, 0, 0, 1363984, 30240,
173928, 41, 18, 173928, 84007, 33627, 28025, 89913, 49308, 22286, 391563, 3356, 1440, 1690, 1, 1, 0, 0, 0, 0, 0, 1363984, 31680,
173928, 42, 18, 173928, 84007, 33627, 28025, 89913, 49308, 22286, 391563, 3356, 1440, 1690, 1, 1, 0, 0, 0, 0, 0, 1363984, 33120,
173928, 43, 18, 173928, 84007, 33627, 28025, 89913, 49308, 22286, 391563, 3356, 1440, 1690, 1, 1, 0, 0, 0, 0, 0, 1363984, 34560,
174011, 43, 21, 174011, 88876, 37899, 26084, 84559, 53714, 22286, 429174, 3356, 1440, 1633, 1, 1, 1, 0, 0, 0, 0, 1363984, 30240,
174011, 44, 21, 174011, 88876, 37899, 26084, 84559, 53714, 22286, 429174, 3356, 1440, 1633, 1, 1, 0, 0, 0, 0, 0, 1363984, 31680,
174038, 44, 24, 174038, 93801, 42171, 26159, 79133, 56891, 22286, 488401, 3356, 1440, 1555, 1, 1, 0, 0, 0, 0, 0, 1363984, 27360,
174038, 45, 24, 174038, 93801, 42171, 26159, 79133, 56891, 22286, 488401, 3356, 1440, 1555, 1, 1, 0, 0, 0, 0, 0, 1363984, 28800,
174868, 45, 27, 174868, 98727, 46443, 26233, 74509, 59093, 22286, 530212, 3356, 1440, 1466, 1, 1, 0, 0, 0, 0, 0, 1363984, 24480,
174888, 45, 31, 174888, 105290, 52139, 26646, 69422, 60384, 22286, 594434, 3356, 1440, 1335, 1, 1, 0, 0, 0, 0, 0, 1363984, 18720,
175447, 46, 31, 174888, 105290, 52139, 26646, 69422, 60384, 22286, 594434, 3356, 1440, 1335, 1, 1, 0, 0, 0, 0, 0, 1363984, 20160,
175813, 46, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 14400,
176637, 47, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 15840,
177861, 48, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 17280,
179057, 49, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 18720,
180268, 50, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 20160,
181487, 51, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 21600,
182696, 52, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 23040,
183902, 53, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 24480,
185116, 54, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 25920,
186325, 55, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 27360,
187537, 56, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 28800,
188749, 57, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 30240,
189960, 58, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 31680,
191174, 59, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 33120,
192383, 60, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 34560,
193615, 61, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 36000,
194817, 62, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 37440,
196021, 63, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 38880,
197236, 64, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 40320,
198444, 65, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 41760,
199654, 66, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 43200,
200865, 67, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 44640,
202079, 68, 35, 175813, 111905, 57835, 34079, 63908, 60824, 22286, 563291, 3356, 1440, 1212, 1, 1, 0, 0, 0, 0, 0, 1363984, 46080,
202707, 68, 36, 202707, 158287, 59259, 26673, 38796, 58071, 22286, 314249, 3356, 1440, 1129, 1, 1, 0, 0, 0, 0, 0, 1363984, 44640,
