time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1946,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3386,
29945, 3, -1, 0, 0, 15360, 0, 29737, 29737, 29737, 0, 0, 1252, 1940, 0, 0, 0, 0, 0, 0, 0, 0, 2189,
30029, 3, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 1908,
30029, 4, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 1963,
30917, 4, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 1963,
30917, 5, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 3215,
31877, 6, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 4467,
33782, 7, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 5719,
34016, 7, -1, 0, 0, 15360, 0, 29965, 29765, 29737, 0, 0, 1252, 1941, 0, 0, 0, 0, 0, 0, 0, 0, 5719,
34046, 7, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 3866,
35975, 8, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 5306,
38197, 9, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 6746,
40383, 10, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 8186,
42568, 11, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 9626,
44707, 12, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 11066,
46944, 13, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 12506,
49167, 14, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 13946,
51341, 15, 1, 34046, 0, 15360, 21276, 25270, 29204, 25270, 0, 0, 1440, 2191, 0, 0, 0, 0, 0, 0, 0, 0, 15386,
59889, 15, 3, 59889, 30029, 15360, 18943, 29860, 29286, 25270, 0, 53918, 1440, 2197, 0, 0, 1, 0, 0, 0, 0, 2597, 15276,
59889, 16, 3, 59889, 30029, 15360, 18943, 29860, 29286, 25270, 0, 53918, 1440, 2197, 0, 0, 0, 0, 0, 0, 0, 2597, 16716,
59951, 16, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 1, 0, 0, 0, 0, 736883, 12960,
59951, 17, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 0, 0, 0, 0, 0, 736883, 14400,
59951, 18, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 0, 0, 0, 0, 0, 736883, 15840,
60011, 18, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 0, 0, 0, 0, 0, 736883, 15840,
61896, 19, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 0, 0, 0, 0, 0, 736883, 17280,
63767, 20, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 0, 0, 0, 0, 0, 736883, 18720,
65874, 21, 6, 59951, 33782, 17832, 19326, 25273, 28785, 25270, 0, 53918, 1440, 1860, 0, 0, 1, 0, 0, 0, 0, 736883, 18775,
113840, 21, 10, 113840, 42568, 7344, 19556, 70040, 33941, 25270, 189297, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 736883, 13015,
140827, 21, 12, 140827, 46944, 7892, 19196, 91987, 41196, 25270, 232319, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 736883, 10135,
148895, 21, 14, 148895, 51341, 8403, 19799, 95978, 48043, 25270, 267895, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 736883, 7255,
148895, 22, 14, 148895, 51341, 8403, 19799, 95978, 48043, 25270, 267895, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 736883, 8695,
148965, 22, 16, 148965, 59951, 8884, 20285, 88998, 53162, 25270, 488265, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 736883, 5815,
148965, 23, 16, 148965, 59951, 8884, 20285, 88998, 53162, 25270, 488265, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 736883, 7255,
148965, 24, 16, 148965, 59951, 8884, 20285, 88998, 53162, 25270, 488265, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 736883, 8695,
148965, 25, 16, 148965, 59951, 8884, 20285, 88998, 53162, 25270, 488265, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 736883, 10135,
149855, 25, 18, 149855, 61896, 9340, 19356, 87951, 57510, 25270, 557160, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 1464267, 7255,
149855, 26, 18, 149855, 61896, 9340, 19356, 87951, 57510, 25270, 557160, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1464267, 8695,
149855, 27, 18, 149855, 61896, 9340, 19356, 87951, 57510, 25270, 557160, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1464267, 10135,
149918, 27, 20, 149918, 65874, 9565, 19042, 84044, 60826, 25270, 533684, 3076, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 1464267, 8640,
149918, 28, 20, 149918, 65874, 9565, 19042, 84044, 60826, 25270, 533684, 3076, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1464267, 10080,
179911, 28, 22, 179911, 148965, 9989, 20343, 30946, 57091, 25270, 80387, 4994, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 1464267, 7200,
179911, 29, 22, 179911, 148965, 9989, 20343, 30946, 57091, 25270, 80387, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1464267, 8640,
179911, 30, 22, 179911, 148965, 9989, 20343, 30946, 57091, 25270, 80387, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1464267, 10080,
180008, 30, 24, 180008, 148965, 10396, 22271, 31035, 53834, 25270, 109976, 4994, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 1471074, 7200,
180008, 31, 24, 180008, 148965, 10396, 22271, 31035, 53834, 25270, 109976, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1471074, 8640,
180008, 32, 24, 180008, 148965, 10396, 22271, 31035, 53834, 25270, 109976, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1471074, 10080,
180008, 33, 24, 180008, 148965, 10396, 22271, 31035, 53834, 25270, 109976, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 1471074, 11520,
180054, 33, 27, 180054, 149918, 10977, 23190, 30128, 50871, 25270, 113015, 4994, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 2282051, 7200,
180054, 34, 27, 180054, 149918, 10977, 23190, 30128, 50871, 25270, 113015, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
180054, 35, 27, 180054, 149918, 10977, 23190, 30128, 50871, 25270, 113015, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
180054, 36, 27, 180054, 149918, 10977, 23190, 30128, 50871, 25270, 113015, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
209864, 36, 29, 209864, 179911, 11347, 20341, 29937, 48255, 25270, 321963, 4994, 1440, 1, 1, 1, 1, 0, 0, 1, 8916, 2282051, 8640,
209864, 37, 29, 209864, 179911, 11347, 20341, 29937, 48255, 25270, 321963, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
209864, 38, 29, 209864, 179911, 11347, 20341, 29937, 48255, 25270, 321963, 4994, 1440, 1, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
210811, 38, 31, 210811, 180008, 11706, 21244, 30803, 46074, 25270, 321102, 4994, 1440, 5668, 1, 1, 1, 0, 0, 1, 8916, 2282051, 8640,
210811, 39, 31, 210811, 180008, 11706, 21244, 30803, 46074, 25270, 321102, 4994, 1440, 5668, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
210811, 40, 31, 210811, 180008, 11706, 21244, 30803, 46074, 25270, 321102, 4994, 1440, 5668, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
211858, 40, 33, 211858, 180054, 12053, 23118, 31348, 44234, 25270, 280020, 4994, 1440, 5285, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
213824, 40, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 5760,
215706, 41, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 7200,
220669, 42, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
225635, 43, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
230566, 44, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
235526, 45, 35, 213824, 180054, 12391, 24958, 31842, 42685, 25270, 336802, 4994, 1440, 4961, 1, 1, 0, 0, 0, 1, 8916, 2282051, 12960,
239900, 45, 37, 239900, 209864, 12720, 20388, 30028, 41103, 25270, 379834, 6417, 1440, 4654, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
240178, 46, 37, 239900, 209864, 12720, 20388, 30028, 41103, 25270, 379834, 6417, 1440, 4654, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
240817, 46, 39, 240817, 210811, 13040, 20449, 30006, 39716, 25270, 369834, 6417, 1440, 4386, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
241834, 46, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 5760,
244202, 47, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 7200,
248256, 48, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
252295, 49, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 10080,
256324, 50, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
260369, 51, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 12960,
264398, 52, 41, 241834, 220669, 13353, 19495, 21157, 37397, 21157, 210365, 6417, 1440, 4033, 1, 1, 0, 0, 0, 1, 8916, 2282051, 14400,
295886, 52, 43, 295886, 230566, 13658, 19574, 65312, 40886, 21157, 225530, 2947, 1440, 4311, 1, 1, 1, 0, 0, 1, 8916, 2282051, 11520,
295886, 53, 43, 295886, 230566, 13658, 19574, 65312, 40886, 21157, 225530, 2947, 1440, 4311, 1, 1, 0, 0, 0, 1, 8916, 2282051, 12960,
295886, 54, 43, 295886, 230566, 13658, 19574, 65312, 40886, 21157, 225530, 2947, 1440, 4311, 1, 1, 0, 0, 0, 1, 8916, 2282051, 14400,
303887, 54, 45, 303887, 240178, 13957, 19970, 63701, 43737, 21157, 375799, 2947, 1440, 4513, 1, 1, 1, 0, 0, 1, 8916, 2282051, 11520,
303887, 55, 45, 303887, 240178, 13957, 19970, 63701, 43737, 21157, 375799, 2947, 1440, 4513, 1, 1, 0, 0, 0, 1, 8916, 2282051, 12960,
303887, 56, 45, 303887, 240178, 13957, 19970, 63701, 43737, 21157, 375799, 2947, 1440, 4513, 1, 1, 0, 0, 0, 1, 8916, 2282051, 14400,
303963, 56, 47, 303963, 248256, 14249, 20676, 55699, 45232, 21157, 296996, 2947, 1440, 4572, 1, 1, 0, 0, 0, 1, 8916, 2282051, 11520,
304842, 56, 49, 304842, 256324, 14536, 19800, 48518, 45642, 21157, 316866, 2947, 1440, 4522, 1, 1, 0, 0, 0, 1, 8916, 2282051, 8640,
304861, 56, 51, 304861, 264398, 14817, 19974, 40455, 44994, 21157, 322113, 2947, 1440, 4373, 1, 1, 0, 0, 0, 1, 8916, 2282051, 5760,
307726, 57, 51, 304861, 264398, 14817, 19974, 40455, 44994, 21157, 322113, 2947, 1440, 4373, 1, 1, 0, 0, 0, 1, 8916, 2282051, 7200,
