time, sequence, highest ack, high ack time, last time ack, cwin, one-way-delay, rtt-sample, SRTT, RTT min, Bandwidth (B/s), Receive rate (B/s), Send MTU, pacing packet time(us), nb retrans, nb spurious, cwin blkd, flow blkd, stream blkd, cc_state, cc_param, bw_max, transit, 
0, 1, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 1946,
0, 2, -1, 0, 0, 15360, 0, 0, 250000, 0, 0, 0, 1252, 1, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 3386,
27833, 3, -1, 0, 0, 15360, 0, 27601, 27601, 27601, 0, 0, 1252, 1800, 0, 0, 0, 0, 0, 0, 14733821145135424, 0, 2189,
35881, 3, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 1908,
35881, 4, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 1963,
35974, 4, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 1963,
35974, 5, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 3215,
35974, 6, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 4467,
37741, 7, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 5719,
39574, 8, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 6971,
41447, 9, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 8223,
41911, 9, -1, 0, 0, 15360, 0, 35809, 28627, 27601, 0, 0, 1252, 1867, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 8223,
41933, 9, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 6370,
43603, 10, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 7810,
45796, 11, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 9250,
47980, 12, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 10690,
50161, 13, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 12130,
52329, 14, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 13570,
54512, 15, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 15010,
56708, 16, 1, 41933, 0, 15360, 28696, 31949, 29042, 27601, 0, 0, 1440, 2179, 0, 0, 0, 0, 0, 0, 14733821145135424, 32927, 16450,
65864, 16, 2, 65864, 27833, 15360, 25535, 31079, 29296, 27601, 0, 53697, 1440, 2198, 0, 0, 1, 0, 0, 0, 14733821145135424, 32927, 16395,
66796, 16, 2, 65864, 27833, 15360, 25535, 31079, 29296, 27601, 0, 53697, 1440, 2198, 0, 0, 1, 0, 0, 0, 14733821145135424, 32927, 16395,
66796, 17, 2, 65864, 27833, 15360, 25535, 31079, 29296, 27601, 0, 53697, 1440, 2198, 0, 0, 1, 0, 0, 0, 14733821145135424, 32927, 16450,
67741, 17, 7, 67741, 39574, 19107, 25970, 26423, 28937, 26423, 0, 53697, 1440, 1745, 0, 0, 1, 0, 0, 0, 14733821145135424, 424410, 11387,
67741, 18, 7, 67741, 39574, 19107, 25970, 26423, 28937, 26423, 0, 53697, 1440, 1745, 0, 0, 0, 0, 0, 0, 14733821145135424, 424410, 12827,
67741, 19, 7, 67741, 39574, 19107, 25970, 26423, 28937, 26423, 0, 53697, 1440, 1745, 0, 0, 0, 0, 0, 0, 14733821145135424, 424410, 14267,
68480, 20, 7, 67741, 39574, 19107, 25970, 26423, 28937, 26423, 0, 53697, 1440, 1745, 0, 0, 0, 0, 0, 0, 14733821145135424, 424410, 15707,
68747, 20, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 11575,
69831, 21, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 13015,
71238, 22, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 14455,
72642, 23, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 15895,
73987, 24, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 17335,
75423, 25, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 18775,
76805, 26, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 20215,
78202, 27, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 21655,
79606, 28, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 23095,
80995, 29, 10, 68747, 45796, 23191, 25764, 21719, 28035, 21719, 198838, 53697, 1440, 1393, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 24535,
95829, 29, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 0, 0, 1, 0, 0, 0, 14733821145135424, 656380, 21655,
95829, 30, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 23095,
95829, 31, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 24535,
95829, 32, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 25975,
95829, 33, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 0, 0, 0, 0, 0, 0, 14733821145135424, 656380, 27415,
129066, 34, 12, 95829, 50161, 26039, 26439, 43972, 30027, 21719, 238312, 53697, 1440, 1329, 1, 0, 1, 0, 0, 0, 14733821145135424, 656380, 27415,
130877, 34, 15, 130877, 56708, 28887, 25844, 72905, 35386, 21719, 261021, 4245, 1440, 1412, 1, 1, 1, 0, 0, 0, 14733821145135424, 656380, 24535,
130877, 35, 15, 130877, 56708, 28887, 25844, 72905, 35386, 21719, 261021, 4245, 1440, 1412, 1, 1, 0, 0, 0, 0, 14733821145135424, 656380, 25975,
130877, 36, 15, 130877, 56708, 28887, 25844, 72905, 35386, 21719, 261021, 4245, 1440, 1412, 1, 1, 0, 0, 0, 0, 14733821145135424, 656380, 27415,
130877, 37, 15, 130877, 56708, 28887, 25844, 72905, 35386, 21719, 261021, 4245, 1440, 1412, 1, 1, 0, 0, 0, 0, 14733821145135424, 656380, 28855,
130877, 38, 15, 130877, 56708, 28887, 25844, 72905, 35386, 21719, 261021, 4245, 1440, 1412, 1, 1, 0, 0, 0, 0, 14733821145135424, 656380, 30295,
131030, 38, 17, 131030, 67741, 30350, 25923, 63273, 38871, 21719, 399155, 4245, 1440, 1476, 1, 1, 0, 0, 0, 0, 14733821145135424, 656380, 28800,
131048, 38, 19, 131048, 68480, 33540, 26968, 62560, 41832, 21719, 487476, 4245, 1440, 1437, 1, 1, 0, 0, 0, 0, 14733821145135424, 1603603, 25920,
131542, 39, 19, 131048, 68480, 33540, 26968, 62560, 41832, 21719, 487476, 4245, 1440, 1437, 1, 1, 0, 0, 0, 0, 14733821145135424, 1603603, 27360,
131748, 39, 21, 131748, 71238, 36388, 26346, 59606, 44053, 21719, 500272, 4245, 1440, 1395, 1, 1, 0, 0, 0, 0, 14733821145135424, 1603603, 24480,
